id,ts_code,d_date,total_mv,row_num
2690,002629,2019-02-01,13.43,91
2691,000707,2019-02-01,13.46,92
2692,603879,2019-02-01,13.49,93
2693,300126,2019-02-01,13.53,94
2694,300640,2019-02-01,13.56,95
2695,603041,2019-02-01,13.6,96
2696,300717,2019-02-01,13.62,97
2697,600234,2019-02-01,13.62,98
2698,300218,2019-02-01,13.63,99
2699,300626,2019-02-01,13.63,100
2700,000668,2019-02-01,13.63,101
2701,600768,2019-02-01,13.64,102
2702,300585,2019-02-01,13.7,103
2703,603963,2019-02-01,13.7,104
2704,300540,2019-02-01,13.71,105
2705,600301,2019-02-01,13.83,106
2706,002857,2019-02-01,13.85,107
2707,300460,2019-02-01,13.85,108
2708,600193,2019-02-01,13.87,109
2709,300721,2019-02-01,13.9,110
2710,600605,2019-02-01,13.94,111
2711,002660,2019-02-01,13.99,112
2712,603580,2019-02-01,13.99,113
2713,603655,2019-02-01,14.05,114
2714,300636,2019-02-01,14.05,115
2715,300464,2019-02-01,14.05,116
2716,002134,2019-02-01,14.06,117
2717,600371,2019-02-01,14.11,118
2718,603908,2019-02-01,14.13,119
2719,603022,2019-02-01,14.14,120
2720,300650,2019-02-01,14.15,121
2721,002862,2019-02-01,14.15,122
2722,600634,2019-02-01,14.16,123
2723,300536,2019-02-01,14.16,124
2724,000609,2019-02-01,14.16,125
2725,600778,2019-02-01,14.17,126
2726,300736,2019-02-01,14.18,127
2727,300022,2019-02-01,14.18,128
2728,000702,2019-02-01,14.18,129
2729,000803,2019-02-01,14.19,130
2730,300606,2019-02-01,14.2,131
2731,603633,2019-02-01,14.21,132
2732,600539,2019-02-01,14.24,133
2733,002105,2019-02-01,14.33,134
2734,300622,2019-02-01,14.34,135
2735,603880,2019-02-01,14.35,136
2736,600883,2019-02-01,14.4,137
2737,002667,2019-02-01,14.45,138
2738,600444,2019-02-01,14.53,139
2739,300211,2019-02-01,14.53,140
2740,300404,2019-02-01,14.54,141
2741,603316,2019-02-01,14.55,142
2742,600796,2019-02-01,14.62,143
2743,603829,2019-02-01,14.66,144
2744,603139,2019-02-01,14.7,145
2745,600506,2019-02-01,14.7,146
2746,300092,2019-02-01,14.72,147
2747,300554,2019-02-01,14.72,148
2748,300611,2019-02-01,14.75,149
2749,000638,2019-02-01,14.76,150
2750,000692,2019-02-01,14.76,151
2751,600289,2019-02-01,14.77,152
2752,600359,2019-02-01,14.8,153
2753,600365,2019-02-01,14.8,154
2754,002817,2019-02-01,14.81,155
2755,002835,2019-02-01,14.82,156
2756,300371,2019-02-01,14.82,157
2757,300553,2019-02-01,14.83,158
2758,603725,2019-02-01,14.87,159
2759,603110,2019-02-01,14.88,160
2760,300030,2019-02-01,14.88,161
2761,300669,2019-02-01,14.9,162
2762,600599,2019-02-01,14.91,163
2763,600793,2019-02-01,14.93,164
2764,300345,2019-02-01,14.96,165
2765,600209,2019-02-01,15.01,166
2766,600493,2019-02-01,15.01,167
2767,600766,2019-02-01,15.02,168
2768,300631,2019-02-01,15.03,169
2769,603488,2019-02-01,15.04,170
2770,300552,2019-02-01,15.08,171
2771,603813,2019-02-01,15.11,172
2772,002780,2019-02-01,15.12,173
2773,300169,2019-02-01,15.13,174
2774,600769,2019-02-01,15.15,175
2775,000985,2019-02-01,15.15,176
2776,600302,2019-02-01,15.16,177
2777,600379,2019-02-01,15.17,178
2778,600767,2019-02-01,15.17,179
2779,002693,2019-02-01,15.19,180
2780,300412,2019-02-01,15.2,181
2781,300549,2019-02-01,15.2,182
2782,002758,2019-02-01,15.29,183
2783,600860,2019-02-01,15.33,184
2784,002715,2019-02-01,15.34,185
2785,300062,2019-02-01,15.37,186
2786,603955,2019-02-01,15.38,187
2787,300598,2019-02-01,15.39,188
2788,300313,2019-02-01,15.4,189
2789,603696,2019-02-01,15.42,190
2790,603038,2019-02-01,15.46,191
2791,000023,2019-02-01,15.47,192
2792,603330,2019-02-01,15.49,193
2793,603701,2019-02-01,15.5,194
2794,600980,2019-02-01,15.51,195
2795,600091,2019-02-01,15.53,196
2796,300509,2019-02-01,15.55,197
2797,002289,2019-02-01,15.55,198
2798,603860,2019-02-01,15.55,199
2799,002919,2019-02-01,15.6,200
2800,000693,2019-03-01,0.0,1
2801,002070,2019-03-01,0.0,2
2802,600680,2019-03-01,0.0,3
2803,002950,2019-03-01,0.0,4
2804,002951,2019-03-01,0.0,5
2805,002958,2019-03-01,0.0,6
2806,600401,2019-03-01,0.0,7
2807,300762,2019-03-01,0.0,8
2808,603681,2019-03-01,0.0,9
2809,300028,2019-03-01,2.65,10
2810,000995,2019-03-01,7.98,11
2811,002260,2019-03-01,8.54,12
2812,002323,2019-03-01,9.77,13
2813,300029,2019-03-01,10.64,14
2814,002604,2019-03-01,10.79,15
2815,002188,2019-03-01,11.32,16
2816,002072,2019-03-01,11.35,17
2817,002200,2019-03-01,11.77,18
2818,000953,2019-03-01,11.85,19
2819,300489,2019-03-01,12.1,20
2820,300592,2019-03-01,12.38,21
2821,600462,2019-03-01,12.38,22
2822,600306,2019-03-01,12.56,23
2823,300405,2019-03-01,12.8,24
2824,300321,2019-03-01,12.96,25
2825,600817,2019-03-01,13.11,26
2826,300106,2019-03-01,13.14,27
2827,300330,2019-03-01,13.2,28
2828,002633,2019-03-01,13.24,29
2829,603286,2019-03-01,13.33,30
2830,300680,2019-03-01,13.38,31
2831,300665,2019-03-01,13.49,32
2832,000929,2019-03-01,13.49,33
2833,300417,2019-03-01,13.61,34
2834,002112,2019-03-01,13.67,35
2835,002800,2019-03-01,13.88,36
2836,300354,2019-03-01,13.9,37
2837,002473,2019-03-01,13.9,38
2838,603029,2019-03-01,13.91,39
2839,300551,2019-03-01,14.03,40
2840,002890,2019-03-01,14.05,41
2841,600137,2019-03-01,14.05,42
2842,603031,2019-03-01,14.08,43
2843,300442,2019-03-01,14.15,44
2844,300535,2019-03-01,14.2,45
2845,603090,2019-03-01,14.3,46
2846,002760,2019-03-01,14.34,47
2847,603269,2019-03-01,14.36,48
2848,600099,2019-03-01,14.37,49
2849,300093,2019-03-01,14.43,50
2850,300275,2019-03-01,14.44,51
2851,300557,2019-03-01,14.47,52
2852,300573,2019-03-01,14.5,53
2853,000502,2019-03-01,14.56,54
2854,600234,2019-03-01,14.58,55
2855,600768,2019-03-01,14.62,56
2856,002207,2019-03-01,14.73,57
2857,002209,2019-03-01,14.76,58
2858,600561,2019-03-01,14.77,59
2859,002680,2019-03-01,14.8,60
2860,002420,2019-03-01,14.8,61
2861,603088,2019-03-01,14.95,62
2862,000691,2019-03-01,15.03,63
2863,600455,2019-03-01,15.08,64
2864,600385,2019-03-01,15.12,65
2865,000835,2019-03-01,15.13,66
2866,002499,2019-03-01,15.14,67
2867,000585,2019-03-01,15.14,68
2868,600275,2019-03-01,15.16,69
2869,603991,2019-03-01,15.18,70
2870,603536,2019-03-01,15.2,71
2871,300069,2019-03-01,15.21,72
2872,002805,2019-03-01,15.27,73
2873,600608,2019-03-01,15.32,74
2874,603879,2019-03-01,15.35,75
2875,300220,2019-03-01,15.38,76
2876,603041,2019-03-01,15.39,77
2877,300460,2019-03-01,15.4,78
2878,300640,2019-03-01,15.56,79
2879,603729,2019-03-01,15.58,80
2880,600301,2019-03-01,15.59,81
2881,300517,2019-03-01,15.61,82
2882,000004,2019-03-01,15.63,83
2883,300254,2019-03-01,15.64,84
2884,300636,2019-03-01,15.71,85
2885,002729,2019-03-01,15.72,86
2886,600539,2019-03-01,15.75,87
2887,300218,2019-03-01,15.77,88
2888,603580,2019-03-01,15.81,89
2889,300626,2019-03-01,15.84,90
2890,000611,2019-03-01,15.88,91
2891,600778,2019-03-01,15.89,92
2892,300622,2019-03-01,15.9,93
2893,600605,2019-03-01,15.91,94
2894,600444,2019-03-01,15.92,95
2895,002857,2019-03-01,15.96,96
2896,603908,2019-03-01,16.06,97
2897,300235,2019-03-01,16.08,98
2898,300540,2019-03-01,16.09,99
2899,300585,2019-03-01,16.11,100
2900,300650,2019-03-01,16.13,101
2901,300536,2019-03-01,16.14,102
2902,002569,2019-03-01,16.14,103
2903,000679,2019-03-01,16.18,104
2904,300721,2019-03-01,16.18,105
2905,603022,2019-03-01,16.22,106
2906,300521,2019-03-01,16.24,107
2907,300167,2019-03-01,16.24,108
2908,600095,2019-03-01,16.26,109
2909,600202,2019-03-01,16.29,110
2910,002629,2019-03-01,16.31,111
2911,002715,2019-03-01,16.35,112
2912,000707,2019-03-01,16.38,113
2913,600634,2019-03-01,16.52,114
2914,600193,2019-03-01,16.55,115
2915,600319,2019-03-01,16.57,116
2916,002134,2019-03-01,16.57,117
2917,300216,2019-03-01,16.59,118
2918,600506,2019-03-01,16.63,119
2919,603655,2019-03-01,16.63,120
2920,300717,2019-03-01,16.65,121
2921,600371,2019-03-01,16.65,122
2922,603316,2019-03-01,16.67,123
2923,600421,2019-03-01,16.68,124
2924,300126,2019-03-01,16.69,125
2925,002817,2019-03-01,16.74,126
2926,000702,2019-03-01,16.8,127
2927,300022,2019-03-01,16.81,128
2928,300669,2019-03-01,16.81,129
2929,300092,2019-03-01,16.83,130
2930,300736,2019-03-01,16.86,131
2931,300553,2019-03-01,16.86,132
2932,603829,2019-03-01,16.88,133
2933,603880,2019-03-01,16.89,134
2934,000692,2019-03-01,16.94,135
2935,600793,2019-03-01,17.09,136
2936,002105,2019-03-01,17.1,137
2937,000803,2019-03-01,17.12,138
2938,600883,2019-03-01,17.14,139
2939,603139,2019-03-01,17.14,140
2940,600796,2019-03-01,17.15,141
2941,300606,2019-03-01,17.3,142
2942,300611,2019-03-01,17.3,143
2943,603813,2019-03-01,17.34,144
2944,600860,2019-03-01,17.39,145
2945,600767,2019-03-01,17.39,146
2946,600289,2019-03-01,17.42,147
2947,300631,2019-03-01,17.44,148
2948,600493,2019-03-01,17.49,149
2949,603860,2019-03-01,17.49,150
2950,603330,2019-03-01,17.55,151
2951,603963,2019-03-01,17.56,152
2952,300371,2019-03-01,17.58,153
2953,002205,2019-03-01,17.61,154
2954,002259,2019-03-01,17.68,155
2955,600365,2019-03-01,17.68,156
2956,600209,2019-03-01,17.69,157
2957,603038,2019-03-01,17.73,158
2958,603488,2019-03-01,17.74,159
2959,600870,2019-03-01,17.74,160
2960,300404,2019-03-01,17.78,161
2961,002667,2019-03-01,17.84,162
2962,600091,2019-03-01,17.85,163
2963,000985,2019-03-01,17.88,164
2964,600359,2019-03-01,17.89,165
2965,002780,2019-03-01,17.9,166
2966,600980,2019-03-01,17.9,167
2967,600213,2019-03-01,17.93,168
2968,002723,2019-03-01,17.95,169
2969,603725,2019-03-01,17.95,170
2970,300554,2019-03-01,17.97,171
2971,600379,2019-03-01,17.97,172
2972,300030,2019-03-01,17.97,173
2973,300062,2019-03-01,17.99,174
2974,600302,2019-03-01,18.03,175
2975,600731,2019-03-01,18.05,176
2976,002778,2019-03-01,18.07,177
2977,600769,2019-03-01,18.15,178
2978,002835,2019-03-01,18.17,179
2979,300549,2019-03-01,18.19,180
2980,000609,2019-03-01,18.2,181
2981,002919,2019-03-01,18.21,182
2982,002693,2019-03-01,18.23,183
2983,000590,2019-03-01,18.27,184
2984,002899,2019-03-01,18.29,185
2985,300421,2019-03-01,18.29,186
2986,300412,2019-03-01,18.32,187
2987,000668,2019-03-01,18.4,188
2988,002136,2019-03-01,18.41,189
2989,300605,2019-03-01,18.42,190
2990,300716,2019-03-01,18.47,191
2991,603320,2019-03-01,18.5,192
2992,603955,2019-03-01,18.5,193
2993,603356,2019-03-01,18.51,194
2994,300402,2019-03-01,18.54,195
2995,603577,2019-03-01,18.55,196
2996,603633,2019-03-01,18.57,197
2997,300169,2019-03-01,18.58,198
2998,002909,2019-03-01,18.58,199
2999,603110,2019-03-01,18.61,200
3000,000693,2019-05-06,0.0,1
3001,002070,2019-05-06,0.0,2
3002,600401,2019-05-06,0.0,3
3003,002953,2019-05-06,0.0,4
3004,002955,2019-05-06,0.0,5
3005,002680,2019-05-06,0.0,6
3006,300775,2019-05-06,0.0,7
3007,300776,2019-05-06,0.0,8
3008,300777,2019-05-06,0.0,9
3009,300778,2019-05-06,0.0,10
3010,300779,2019-05-06,0.0,11
3011,603697,2019-05-06,0.0,12
3012,603982,2019-05-06,0.0,13
3013,603267,2019-05-06,0.0,14
3014,603327,2019-05-06,0.0,15
3015,600680,2019-05-06,0.0,16
3016,600989,2019-05-06,0.0,17
3017,000972,2019-05-06,2.49,18
3018,300028,2019-05-06,2.65,19
3019,002260,2019-05-06,8.35,20
3020,002072,2019-05-06,8.69,21
3021,300029,2019-05-06,9.76,22
3022,002323,2019-05-06,9.77,23
3023,600462,2019-05-06,10.73,24
3024,300592,2019-05-06,11.38,25
3025,000953,2019-05-06,11.62,26
3026,002604,2019-05-06,11.75,27
3027,000611,2019-05-06,11.79,28
3028,002890,2019-05-06,11.97,29
3029,300665,2019-05-06,12.04,30
3030,600385,2019-05-06,12.06,31
3031,603286,2019-05-06,12.24,32
3032,600306,2019-05-06,12.26,33
3033,300354,2019-05-06,12.35,34
3034,002188,2019-05-06,12.39,35
3035,300321,2019-05-06,12.48,36
3036,603029,2019-05-06,12.57,37
3037,300442,2019-05-06,12.74,38
3038,603269,2019-05-06,12.83,39
3039,600817,2019-05-06,12.87,40
3040,300535,2019-05-06,12.96,41
3041,603031,2019-05-06,12.99,42
3042,002473,2019-05-06,12.99,43
3043,000691,2019-05-06,13.09,44
3044,300330,2019-05-06,13.22,45
3045,300680,2019-05-06,13.24,46
3046,002200,2019-05-06,13.24,47
3047,000995,2019-05-06,13.25,48
3048,002209,2019-05-06,13.26,49
3049,600137,2019-05-06,13.48,50
3050,300460,2019-05-06,13.5,51
3051,002499,2019-05-06,13.53,52
3052,002633,2019-05-06,13.59,53
3053,002420,2019-05-06,13.59,54
3054,600768,2019-05-06,13.68,55
3055,300626,2019-05-06,13.72,56
3056,300521,2019-05-06,13.75,57
3057,300093,2019-05-06,13.76,58
3058,002800,2019-05-06,13.76,59
3059,300216,2019-05-06,13.77,60
3060,300585,2019-05-06,13.8,61
3061,000929,2019-05-06,13.88,62
3062,300557,2019-05-06,13.92,63
3063,603090,2019-05-06,13.92,64
3064,600193,2019-05-06,13.99,65
3065,002629,2019-05-06,14.01,66
3066,300636,2019-05-06,14.08,67
3067,603991,2019-05-06,14.1,68
3068,300736,2019-05-06,14.14,69
3069,300218,2019-05-06,14.15,70
3070,300106,2019-05-06,14.16,71
3071,000835,2019-05-06,14.25,72
3072,300489,2019-05-06,14.27,73
3073,000502,2019-05-06,14.32,74
3074,600319,2019-05-06,14.36,75
3075,002760,2019-05-06,14.39,76
3076,000679,2019-05-06,14.43,77
3077,300606,2019-05-06,14.46,78
3078,603088,2019-05-06,14.48,79
3079,600605,2019-05-06,14.59,80
3080,600608,2019-05-06,14.63,81
3081,300517,2019-05-06,14.77,82
3082,002569,2019-05-06,14.79,83
3083,002715,2019-05-06,14.79,84
3084,603330,2019-05-06,14.8,85
3085,603041,2019-05-06,14.89,86
3086,300721,2019-05-06,14.89,87
3087,300650,2019-05-06,14.94,88
3088,603908,2019-05-06,14.95,89
3089,600561,2019-05-06,14.96,90
3090,002857,2019-05-06,14.98,91
3091,002817,2019-05-06,15.07,92
3092,603725,2019-05-06,15.11,93
3093,300554,2019-05-06,15.12,94
3094,000707,2019-05-06,15.13,95
3095,600634,2019-05-06,15.14,96
3096,300275,2019-05-06,15.16,97
3097,002112,2019-05-06,15.18,98
3098,300553,2019-05-06,15.24,99
3099,603536,2019-05-06,15.29,100
3100,300417,2019-05-06,15.33,101
3101,300235,2019-05-06,15.37,102
3102,600870,2019-05-06,15.38,103
3103,603880,2019-05-06,15.39,104
3104,300611,2019-05-06,15.41,105
3105,300169,2019-05-06,15.45,106
3106,000585,2019-05-06,15.45,107
3107,300716,2019-05-06,15.46,108
3108,000609,2019-05-06,15.47,109
3109,300631,2019-05-06,15.48,110
3110,002899,2019-05-06,15.48,111
3111,603879,2019-05-06,15.51,112
3112,002921,2019-05-06,15.52,113
3113,603580,2019-05-06,15.54,114
3114,002105,2019-05-06,15.7,115
3115,603022,2019-05-06,15.72,116
3116,603729,2019-05-06,15.74,117
3117,002862,2019-05-06,15.75,118
3118,300254,2019-05-06,15.77,119
3119,603356,2019-05-06,15.81,120
3120,002058,2019-05-06,15.81,121
3121,603316,2019-05-06,15.82,122
3122,600796,2019-05-06,15.82,123
3123,600883,2019-05-06,15.94,124
3124,603683,2019-05-06,15.96,125
3125,300313,2019-05-06,16.02,126
3126,600444,2019-05-06,16.02,127
3127,002919,2019-05-06,16.03,128
3128,002909,2019-05-06,16.04,129
3129,300710,2019-05-06,16.05,130
3130,603139,2019-05-06,16.05,131
3131,603829,2019-05-06,16.06,132
3132,600506,2019-05-06,16.07,133
3133,600099,2019-05-06,16.13,134
3134,603655,2019-05-06,16.2,135
3135,000692,2019-05-06,16.2,136
3136,002778,2019-05-06,16.22,137
3137,300551,2019-05-06,16.25,138
3138,300629,2019-05-06,16.26,139
3139,300700,2019-05-06,16.26,140
3140,300069,2019-05-06,16.26,141
3141,300126,2019-05-06,16.29,142
3142,300619,2019-05-06,16.29,143
3143,300720,2019-05-06,16.29,144
3144,300549,2019-05-06,16.31,145
3145,603813,2019-05-06,16.32,146
3146,600539,2019-05-06,16.33,147
3147,300371,2019-05-06,16.37,148
3148,600301,2019-05-06,16.41,149
3149,300717,2019-05-06,16.41,150
3150,002134,2019-05-06,16.42,151
3151,600455,2019-05-06,16.43,152
3152,603860,2019-05-06,16.44,153
3153,600371,2019-05-06,16.47,154
3154,300163,2019-05-06,16.54,155
3155,603578,2019-05-06,16.55,156
3156,000638,2019-05-06,16.55,157
3157,600234,2019-05-06,16.56,158
3158,300092,2019-05-06,16.57,159
3159,000752,2019-05-06,16.59,160
3160,300643,2019-05-06,16.62,161
3161,002259,2019-05-06,16.63,162
3162,600821,2019-05-06,16.65,163
3163,603076,2019-05-06,16.69,164
3164,603955,2019-05-06,16.7,165
3165,300576,2019-05-06,16.7,166
3166,002207,2019-05-06,16.72,167
3167,300211,2019-05-06,16.74,168
3168,300167,2019-05-06,16.75,169
3169,300644,2019-05-06,16.77,170
3170,300412,2019-05-06,16.83,171
3171,603038,2019-05-06,16.84,172
3172,603042,2019-05-06,16.84,173
3173,002136,2019-05-06,16.86,174
3174,603701,2019-05-06,16.9,175
3175,002213,2019-05-06,16.91,176
3176,603319,2019-05-06,16.93,177
3177,600091,2019-05-06,16.97,178
3178,300703,2019-05-06,17.03,179
3179,300062,2019-05-06,17.03,180
